Episode,Reward,Sat_Rate,Valid_Assigns,Loss_Actor,Loss_Critic,Entropy
10,155.40715211955973,0.6296296296296297,17,0.0,0.0,0.0
20,132.58874504766374,1.0,18,0.0,0.0,0.0
30,135.11095208942226,0.8148148148148148,22,0.0,0.0,0.0
40,144.48844386127058,0.8148148148148148,22,0.0,0.0,0.0
50,150.11955888412086,0.9259259259259259,25,0.0,0.0,0.0
60,134.58952795493605,0.8333333333333334,15,0.0,0.0,0.0
70,130.90034397334563,0.9444444444444444,17,0.0,0.0,0.0
80,135.65668621420406,0.9444444444444444,17,0.0,0.0,0.0
90,143.24089620437985,1.0,18,0.0,0.0,0.0
100,110.74769293131286,0.9444444444444444,17,0.0,0.0,0.0
110,118.54354062259054,0.8888888888888888,16,0.0,0.0,0.0
120,138.14261177985594,0.8518518518518519,23,0.0,0.0,0.0
130,125.91667563009761,0.7407407407407407,20,0.0,0.0,0.0
140,140.0620232113319,0.9444444444444444,17,0.0,0.0,0.0
150,122.23630049267665,0.8148148148148148,22,0.0,0.0,0.0
160,156.10452541481843,0.9259259259259259,25,0.0,0.0,0.0
170,157.93743090062156,0.8148148148148148,22,0.0,0.0,0.0
180,152.83198093550988,0.9259259259259259,25,0.0,0.0,0.0
190,128.8541231899344,0.8888888888888888,16,0.0,0.0,0.0
200,114.63183597684174,0.7037037037037037,19,0.0,0.0,0.0
210,126.0949468904216,0.9444444444444444,17,0.0,0.0,0.0
220,121.14262560953031,1.0,18,0.0,0.0,0.0
230,138.8720205325694,0.7777777777777778,21,0.0,0.0,0.0
240,100.54282657514088,0.8888888888888888,16,0.0,0.0,0.0
250,135.78581189393765,0.8888888888888888,24,0.0,0.0,0.0
260,136.09836713216765,0.9444444444444444,17,0.0,0.0,0.0
270,139.56046742438684,0.7407407407407407,20,0.0,0.0,0.0
280,117.70779748436232,0.9444444444444444,17,0.0,0.0,0.0
290,131.32634404296627,1.0,18,0.0,0.0,0.0
300,96.92827464692937,0.8888888888888888,16,0.0,0.0,0.0
310,153.34346428595643,0.7407407407407407,20,0.0,0.0,0.0
320,148.13705296175073,1.0,18,0.30930864810943604,17655.22216796875,1.3519432246685028
330,140.93507301002694,0.9444444444444444,17,0.0,0.0,0.0
340,116.89771282598892,0.9444444444444444,17,0.0,0.0,0.0
350,108.31238067579932,0.9444444444444444,17,0.0,0.0,0.0
360,151.02003733339046,0.7407407407407407,20,0.0,0.0,0.0
370,128.92574060766646,1.0,18,0.0,0.0,0.0
380,142.133079738439,0.8518518518518519,23,0.0,0.0,0.0
390,145.59083643241257,0.9259259259259259,25,0.0,0.0,0.0
400,111.17408042982004,0.9444444444444444,17,0.0,0.0,0.0
410,135.95548797381667,1.0,18,0.0,0.0,0.0
420,111.15106407158002,1.0,18,0.0,0.0,0.0
430,118.21600801553564,1.0,18,0.0,0.0,0.0
440,134.58372373061408,0.7407407407407407,20,0.0,0.0,0.0
450,120.5708059643317,0.7777777777777778,21,0.0,0.0,0.0
460,108.8059190319716,1.0,18,0.0,0.0,0.0
470,99.64923617450563,1.0,18,0.0,0.0,0.0
480,129.17183980325788,0.8518518518518519,23,0.0,0.0,0.0
490,97.44596873774576,0.8888888888888888,16,0.0,0.0,0.0
500,109.93033146434084,0.7037037037037037,19,0.0,0.0,0.0
510,120.1732314799651,0.8518518518518519,23,0.0,0.0,0.0
520,134.9487924174953,0.7407407407407407,20,0.0,0.0,0.0
530,140.55588959378605,1.0,18,0.0,0.0,0.0
540,144.45211694383363,0.8518518518518519,23,0.0,0.0,0.0
550,150.7717126413542,0.8888888888888888,16,0.0,0.0,0.0
560,134.3315209189536,1.0,18,0.0,0.0,0.0
570,134.97349415935344,0.8518518518518519,23,0.0,0.0,0.0
580,118.79023392989419,0.7037037037037037,19,0.0,0.0,0.0
590,115.1020914370037,0.8518518518518519,23,0.0,0.0,0.0
600,113.34642533913473,1.0,18,0.0,0.0,0.0
610,124.29137415448437,0.7777777777777778,21,0.0,0.0,0.0
620,109.79452518499856,0.8518518518518519,23,0.0,0.0,0.0
630,122.3578151202486,0.8518518518518519,23,0.0,0.0,0.0
640,127.07475282010398,0.9629629629629629,26,0.47483621537685394,11052.97900390625,1.324964553117752
650,103.73172989501047,0.7777777777777778,21,0.0,0.0,0.0
660,116.75109104831654,1.0,18,0.0,0.0,0.0
670,126.27529116385787,0.8888888888888888,24,0.0,0.0,0.0
680,133.35980159756008,1.0,18,0.0,0.0,0.0
690,109.91839647398255,0.8888888888888888,16,0.0,0.0,0.0
700,137.37369737461228,0.7037037037037037,19,0.0,0.0,0.0
710,122.41354122518237,0.7777777777777778,21,0.0,0.0,0.0
720,113.73369219075794,0.9444444444444444,17,0.0,0.0,0.0
730,130.7731975263566,0.8148148148148148,22,0.0,0.0,0.0
740,129.44126843423464,1.0,18,0.0,0.0,0.0
750,115.55432133460654,0.8888888888888888,16,0.0,0.0,0.0
760,133.57381661697084,0.9259259259259259,25,0.0,0.0,0.0
770,118.62727609104302,0.9444444444444444,17,0.0,0.0,0.0
780,136.7947102932688,1.0,18,0.0,0.0,0.0
790,127.47345478659426,0.8888888888888888,16,0.0,0.0,0.0
800,131.08429589055606,1.0,18,0.0,0.0,0.0
810,135.85429024799026,0.8888888888888888,24,0.0,0.0,0.0
820,134.7244394100411,0.9629629629629629,26,0.0,0.0,0.0
830,106.11001567157516,0.9259259259259259,25,0.0,0.0,0.0
840,129.2633290802862,0.8518518518518519,23,0.0,0.0,0.0
850,143.26254433126718,0.8888888888888888,16,0.0,0.0,0.0
860,136.05397326235098,0.7037037037037037,19,0.0,0.0,0.0
870,148.75183530850103,0.8518518518518519,23,0.0,0.0,0.0
880,91.59002554352006,1.0,18,0.0,0.0,0.0
890,126.89553202643124,0.8888888888888888,24,0.0,0.0,0.0
900,158.21849321017052,0.8518518518518519,23,0.0,0.0,0.0
910,133.07221660469506,0.8148148148148148,22,0.0,0.0,0.0
920,148.92086569707757,0.8888888888888888,24,0.0,0.0,0.0
930,119.24625846842397,0.9259259259259259,25,0.0,0.0,0.0
940,118.07965289111458,1.0,18,0.0,0.0,0.0
950,120.89646089524777,0.9444444444444444,17,0.0,0.0,0.0
960,119.88626119352814,0.8888888888888888,24,0.2142275646328926,9106.97998046875,1.3168521225452423
970,140.629235626349,0.7777777777777778,21,0.0,0.0,0.0
980,115.01750422997002,0.9444444444444444,17,0.0,0.0,0.0
990,161.3992765747479,1.0,18,0.0,0.0,0.0
1000,122.7788440380322,0.9444444444444444,17,0.0,0.0,0.0
1010,150.74338846038123,0.7407407407407407,20,0.0,0.0,0.0
1020,145.37123227804256,0.9259259259259259,25,0.0,0.0,0.0
1030,116.24413799571387,1.0,18,0.0,0.0,0.0
1040,85.08188707099194,1.0,18,0.0,0.0,0.0
1050,156.34254494819373,0.9259259259259259,25,0.0,0.0,0.0
1060,134.4602908531372,1.0,18,0.0,0.0,0.0
1070,133.67387335212047,1.0,18,0.0,0.0,0.0
1080,129.1381834406397,0.8333333333333334,15,0.0,0.0,0.0
1090,144.43829080426676,0.7777777777777778,21,0.0,0.0,0.0
1100,131.7530131659368,0.8148148148148148,22,0.0,0.0,0.0
1110,107.72416855658898,0.8888888888888888,16,0.0,0.0,0.0
1120,147.64569363309795,0.8888888888888888,24,0.0,0.0,0.0
1130,141.50839547229697,0.9259259259259259,25,0.0,0.0,0.0
1140,102.81724494816771,0.9259259259259259,25,0.0,0.0,0.0
1150,109.69014639956126,0.8888888888888888,16,0.0,0.0,0.0
1160,134.72933689515924,0.8518518518518519,23,0.0,0.0,0.0
1170,126.10697039863776,0.8888888888888888,24,0.0,0.0,0.0
1180,134.41882754776543,1.0,18,0.0,0.0,0.0
1190,112.85505142979665,0.8888888888888888,24,0.0,0.0,0.0
1200,126.5658185879964,1.0,18,0.0,0.0,0.0
1210,149.97421203714228,0.8518518518518519,23,0.0,0.0,0.0
1220,156.37848437885714,1.0,18,0.0,0.0,0.0
1230,143.5594320173645,0.8888888888888888,24,0.0,0.0,0.0
1240,134.053945838262,1.0,18,0.0,0.0,0.0
1250,135.15652467960797,0.9444444444444444,17,0.0,0.0,0.0
1260,130.79877818483163,0.9629629629629629,26,0.0,0.0,0.0
1270,128.848192206183,0.9259259259259259,25,0.0,0.0,0.0
1280,113.05628274213682,0.6296296296296297,17,0.3514034301042557,5180.496826171875,1.3081092834472656
1290,125.58986402182727,0.8888888888888888,16,0.0,0.0,0.0
1300,107.87946327308696,0.9259259259259259,25,0.0,0.0,0.0
1310,131.64742645272707,0.9444444444444444,17,0.0,0.0,0.0
1320,133.59232922239076,0.7777777777777778,21,0.0,0.0,0.0
1330,114.06849489274471,1.0,18,0.0,0.0,0.0
1340,102.3692711299415,0.7037037037037037,19,0.0,0.0,0.0
1350,120.72621218295558,0.7407407407407407,20,0.0,0.0,0.0
1360,155.94805157239924,0.9629629629629629,26,0.0,0.0,0.0
1370,128.1961824365737,0.9629629629629629,26,0.0,0.0,0.0
1380,126.06785834082822,0.7407407407407407,20,0.0,0.0,0.0
1390,129.57465017907793,0.7777777777777778,21,0.0,0.0,0.0
1400,135.8636020987201,0.8518518518518519,23,0.0,0.0,0.0
1410,98.19652825773183,1.0,18,0.0,0.0,0.0
1420,106.39257816320276,0.8888888888888888,24,0.0,0.0,0.0
1430,127.3760156482335,0.8518518518518519,23,0.0,0.0,0.0
1440,91.03585437114506,1.0,18,0.0,0.0,0.0
1450,122.53776504160513,0.9259259259259259,25,0.0,0.0,0.0
1460,97.9498071135624,0.9444444444444444,17,0.0,0.0,0.0
1470,157.82154380211898,0.7407407407407407,20,0.0,0.0,0.0
1480,101.55821907714176,0.9444444444444444,17,0.0,0.0,0.0
1490,148.05421228220357,0.9629629629629629,26,0.0,0.0,0.0
1500,130.18138697419553,0.9629629629629629,26,0.0,0.0,0.0
1510,112.47679991360762,1.0,18,0.0,0.0,0.0
1520,115.22532956717848,1.0,18,0.0,0.0,0.0
1530,110.38002256172335,0.7407407407407407,20,0.0,0.0,0.0
1540,105.56000247220747,0.8888888888888888,24,0.0,0.0,0.0
1550,136.80976403404182,0.9444444444444444,17,0.0,0.0,0.0
1560,135.9827811438251,1.0,18,0.0,0.0,0.0
1570,141.3378737959957,0.8888888888888888,24,0.0,0.0,0.0
1580,154.78297103588721,0.8148148148148148,22,0.0,0.0,0.0
1590,108.92409560515746,0.8148148148148148,22,0.0,0.0,0.0
1600,128.1702136806317,1.0,18,1.0210295990109444,2293.2485961914062,1.3028927147388458
1610,132.70090491014585,0.7777777777777778,21,0.0,0.0,0.0
1620,125.32764731634488,0.8888888888888888,24,0.0,0.0,0.0
1630,106.14969742844994,0.7777777777777778,21,0.0,0.0,0.0
1640,133.0068835439552,0.8888888888888888,16,0.0,0.0,0.0
1650,145.4655564408925,0.9259259259259259,25,0.0,0.0,0.0
1660,149.3778189584532,1.0,18,0.0,0.0,0.0
1670,131.578535569014,0.9444444444444444,17,0.0,0.0,0.0
1680,107.9061107119305,1.0,18,0.0,0.0,0.0
1690,92.00370648494506,0.9444444444444444,17,0.0,0.0,0.0
1700,113.10190869488301,1.0,18,0.0,0.0,0.0
1710,127.59439707096676,0.8888888888888888,24,0.0,0.0,0.0
1720,134.09760611091255,0.8148148148148148,22,0.0,0.0,0.0
1730,125.68598030657373,1.0,27,0.0,0.0,0.0
1740,114.90568315614368,0.6666666666666666,18,0.0,0.0,0.0
1750,121.25551163658425,0.8518518518518519,23,0.0,0.0,0.0
1760,90.03667984612585,1.0,18,0.0,0.0,0.0
1770,129.0310853838069,1.0,18,0.0,0.0,0.0
1780,118.51000831120652,1.0,18,0.0,0.0,0.0
1790,132.04813506127394,0.9629629629629629,26,0.0,0.0,0.0
1800,106.61960580929096,0.9259259259259259,25,0.0,0.0,0.0
1810,134.12988613764978,0.8888888888888888,24,0.0,0.0,0.0
1820,101.02638650484809,1.0,18,0.0,0.0,0.0
1830,133.3831832547335,0.9444444444444444,17,0.0,0.0,0.0
1840,117.96789399010345,0.8148148148148148,22,0.0,0.0,0.0
1850,121.33810848534236,0.7777777777777778,21,0.0,0.0,0.0
1860,94.5986709899615,0.8888888888888888,16,0.0,0.0,0.0
1870,120.91869396124503,0.7777777777777778,21,0.0,0.0,0.0
1880,133.4582548362158,0.9629629629629629,26,0.0,0.0,0.0
1890,108.30618912098357,1.0,18,0.0,0.0,0.0
1900,98.90839704890986,1.0,18,0.0,0.0,0.0
1910,98.50462493929108,0.9444444444444444,17,0.0,0.0,0.0
1920,125.70170244730215,1.0,18,0.1941559575498104,447.74987030029297,1.318792313337326
1930,102.734409575721,1.0,18,0.0,0.0,0.0
1940,134.97934415457192,1.0,18,0.0,0.0,0.0
1950,116.99707039567826,1.0,18,0.0,0.0,0.0
1960,132.76851313517676,1.0,18,0.0,0.0,0.0
1970,134.08378379911437,0.8888888888888888,24,0.0,0.0,0.0
1980,143.77540380125993,0.9444444444444444,17,0.0,0.0,0.0
1990,118.56375017368984,0.7037037037037037,19,0.0,0.0,0.0
2000,109.9250694803417,0.8518518518518519,23,0.0,0.0,0.0
