Episode,Reward,Sat_Rate,Valid_Assigns,Loss_Actor,Loss_Critic,Entropy
100,121.76511387368537,0.9435185185185184,16,0.12003008276224136,20116.1220703125,1.2339049279689789
200,119.61020736958599,0.9427777777777777,21,0.08868568763136864,17202.25048828125,1.220953643321991
300,111.35281309417323,0.9316666666666668,20,0.1016994621604681,13263.888916015625,1.2230656445026398
400,124.59183548852337,0.9314814814814814,18,0.14022273570299149,16000.767578125,1.2564824521541595
500,119.74233814313992,0.9227777777777777,25,0.15864812768995762,14012.678955078125,1.269997239112854
600,119.86891636071655,0.9235185185185183,22,0.24799547716975212,10877.172119140625,1.295146107673645
700,120.33762329699798,0.9125925925925925,24,0.18777377158403397,9470.1416015625,1.3049775660037994
800,118.43708454033764,0.9033333333333333,18,0.24927298352122307,9814.444091796875,1.3138350546360016
900,124.1610853881397,0.9125925925925924,18,0.19231732562184334,7628.5142822265625,1.3126282393932343
1000,118.38250683827398,0.8949999999999997,22,0.2409510686993599,4784.8094482421875,1.3106168508529663
1100,131.3856154055202,0.9068518518518518,23,0.343967754393816,5535.937744140625,1.3111327588558197
1200,124.39179712915204,0.8944444444444446,18,0.28822004050016403,4216.4974365234375,1.3092994689941406
1300,126.82158043900104,0.8920370370370371,17,0.3002971298992634,2822.6157836914062,1.310892254114151
1400,128.81003114397927,0.8966666666666667,19,0.27825218439102173,2514.6560668945312,1.3103234469890594
1500,114.78145082031644,0.9075925925925926,18,0.3752940744161606,1962.333740234375,1.30824014544487
1600,120.29509805386701,0.9053703703703703,16,0.24597571045160294,1212.7431335449219,1.2950591444969177
1700,115.48338065505601,0.9183333333333333,22,0.24078946933150291,682.2328338623047,1.290887326002121
1800,130.53479361804642,0.891111111111111,17,0.42815981805324554,472.0726318359375,1.312221646308899
1900,128.64950404151557,0.8864814814814814,17,0.24875435419380665,486.24190521240234,1.318231850862503
2000,131.50591632878746,0.8748148148148149,19,2.13784596323967,573.9077606201172,1.3181725144386292
2100,126.90464963640233,0.814814814814815,20,0.25340455770492554,392.92864990234375,1.2897507846355438
2200,107.31225630453649,0.6996296296296296,11,0.41396796703338623,533.8047103881836,1.1681096851825714
2300,97.72105804587731,0.6968518518518517,11,0.3006165884435177,659.2526397705078,1.1431754529476166
2400,97.27872396491288,0.6518518518518519,10,0.39632491022348404,602.8990783691406,1.0007865279912949
2500,111.53878392615114,0.6874074074074075,15,0.2647736445069313,621.4150238037109,1.1648743152618408
2600,118.40854299793251,0.7642592592592591,16,0.2620914801955223,436.53308868408203,1.2605982422828674
2700,114.69607570363765,0.7927777777777778,20,0.20212899520993233,495.9246063232422,1.2941282093524933
