Episode,Avg_Reward,Avg_Q0,Avg_J_Value,Max_Coverage,Action1_Ratio,Valid_Assign_Rate,Sat_Rate,Avg_Angle,Loss_Critic,Loss_Actor,Entropy
10,-93.1859,0.2429,0.0000,10,0.0000,0.0000,0.9900,0.0000,748.522766,-0.000965,0.690447
20,-57.3542,-1.6383,0.0000,15,0.0000,0.0000,0.9761,0.0000,577.943100,-0.003831,0.663904
30,-26.3757,-3.2226,0.0000,10,0.0000,0.0000,0.9641,0.0000,0.000000,0.000000,0.000000
40,-25.7091,-2.3049,0.0000,13,0.0000,0.0000,0.9750,0.0000,0.000000,0.000000,0.000000
50,-13.0494,-1.0445,0.0000,15,0.0000,0.0000,0.9778,0.0000,0.000000,0.000000,0.000000
60,15.2015,0.1791,0.0000,13,0.0000,0.0000,0.9459,0.0000,0.000000,0.000000,0.000000
70,34.4998,3.0267,0.0000,16,0.0000,0.0000,0.9817,0.0000,0.000000,0.000000,0.000000
80,42.6248,7.0446,0.0000,12,0.0000,0.0000,0.9878,0.0000,0.000000,0.000000,0.000000
90,61.6907,10.2441,0.0000,22,0.0000,0.0000,1.0000,0.0000,0.000000,0.000000,0.000000
100,78.1298,13.4454,0.0000,19,0.0000,0.0000,0.9804,0.0000,0.000000,0.000000,0.000000
